objectid,reporter,RecOwner,SciName,ComName,Nativity,OccStatus,Status,ObsDate,DateEnt,DateUp,Location,Latitude,Longitude,Datum,Method,CoordAcc,DataType,Centroid,Abundance,InfestAcre,GrossAcre,Percentcov,Density,Quantity,QuantityU,APPXQuant,NumCollect,Smallest,Largest,Incidence,Severity,Host,Host_Name,HostPheno,HostDamage,ManageStat,PopStat,Habitat,LocalOwner,Site,RecBasis,Museum,MuseumRec,Voucher,ObsIDer,CollectTme,UUID,OrgSrcID,OrigName,RecSrcTyp,Surveyor,DateAcc,VisitType,DataMthd,TrapType,NumTraps,TargetName,TargetCnt,TargetRnge,Phenology,LifeStatus,Sex,PID,WaterName,WaterType,Substrate,TreatArea,PlantTreat,TreatComm,Reference,Locality,Comments,ReviewDate,Reviewer,VerifyMthd,Verified,IDCred,ReviewComm,CurrentRecord
633277,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2006-10-02,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.57898"," -82.03743",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9186",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2818 SW 39th St""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633278,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2005-08-22,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.56400"," -82.03312",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9187",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2820 SW 46th Ter""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633279,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2003-09-15,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59400"," -82.03400",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9188",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2821 SW 31th Ln""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633280,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2003-09-17,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59400"," -82.03400",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9189",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2821 SW 31th Ln""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633281,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2006-06-07,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.60568"," -82.03404",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9190",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2822 SW 25th St""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633282,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2005-11-03,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.58048"," -82.03408",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9191",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2824 SW 38th Ter""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633283,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2005-11-03,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.58048"," -82.03408",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9192",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2824 SW 38th Ter""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633284,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2004-01-16,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.60568"," -82.03429",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9193",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2826 SW 25th St""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633285,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2006-06-09,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59135"," -82.03359",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9194",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2827 SW 33rd St""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633286,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2008-09-25,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.55928"," -82.03461",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9195",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2834 SW 49th Ter""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633287,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2005-10-17,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.55825"," -82.03422",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9196",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2837 SW 50th Ter""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633288,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2006-06-21,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.58357"," -82.03427",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9197",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2844 SW 36th Ter""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633289,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2005-07-29,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59918"," -82.02442",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9198",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2850 SW 25th Pl""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633290,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2005-08-05,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59918"," -82.02442",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9199",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2850 SW 25th Pl""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633291,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2005-08-18,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59918"," -82.02442",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9200",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2850 SW 25th Pl""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633292,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2003-07-30,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59717"," -82.02783",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9201",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2852 SW 26th Pl""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633293,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2006-05-01,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59740"," -82.02129",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9202",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2861 SW 23rd Pl""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633294,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2007-09-20,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.60468"," -82.03459",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9203",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2901 SW 26th St""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633295,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2006-09-29,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.57898"," -82.03343",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9204",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2902 SW 39th St""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633296,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2008-05-06,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.60168"," -82.02342",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9205",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2905 SW 29th Ave""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633297,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2006-07-20,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.60567"," -82.03553",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9206",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2910 SW 25th St""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633298,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2006-07-06,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.60557"," -82.03007",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9207",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2914 SW 25th St""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633299,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2006-08-14,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.60566"," -82.03602",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9208",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2918 SW 25th St""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633300,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2006-09-27,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.60265"," -82.03674",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9209",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2920 SW 26th Ter""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633301,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2008-10-28,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.60251"," -82.03636",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9210",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2921 SW 27th St""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633302,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2006-08-21,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.60478"," -82.03658",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9211",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2922 SW 25th St""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633303,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2004-02-04,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.60589"," -82.03699",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9212",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2935 SW 25th St""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633304,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2003-12-01,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.60403"," -82.03688",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9213",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 2935 SW 26th St""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633305,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2006-07-03,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.57504"," -82.03598",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9214",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 3002 SW 40th Ln""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633306,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2007-03-29,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59564"," -82.02306",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9215",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 3005 SW 25th Ave""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633307,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2007-04-02,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59653"," -82.02402",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9216",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 3005 SW 25th Ave""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633308,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2007-08-09,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59611"," -82.02306",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9217",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 3005 SW 25th Ave""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633309,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2008-07-18,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59515"," -82.02304",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9218",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 3005 SW 25th Ave""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633310,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2008-07-28,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59495"," -82.02302",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9219",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 3005 SW 25th Ave""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633311,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2009-05-27,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59612"," -82.02253",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9220",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 3014 SW 24th Ave""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633312,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2009-08-13,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59527"," -82.02295",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9221",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 3014 SW 24th Ave""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633313,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2003-07-25,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59613"," -82.03106",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9222",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 3023 SW 27th Pl""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633314,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2005-01-11,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59520"," -82.01032",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9223",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 3030 SW 17th Pl""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633315,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2005-03-22,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59534"," -82.01050",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9224",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 3030 SW 17th Pl""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633316,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2003-09-17,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59532"," -82.03058",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9225",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 3039 SW 27th Pl""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633317,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2008-10-06,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59444"," -82.03013",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9226",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 3063 SW 27th Pl""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633318,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2008-05-05,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59670"," -81.96736",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9227",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 308 SE 30th St""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633319,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2005-01-03,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59531"," -82.01131",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9228",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 3101 SW 18th Ave""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633320,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2005-04-12,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59419"," -82.01064",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9229",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 3101 SW 18th Ave""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633321,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2005-04-15,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59476"," -82.00935",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9230",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 3110 SW 17th Ave""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
633322,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Treated,2008-10-03,2010-01-23,2012-01-04,"""Lee, Florida, United States""","  26.59379"," -82.01923",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Treated,,,,,Human Observation,,,,,,,"9231",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Kraig Hankins, City of Cape Coral, personal communication""","""Cape Coral, 3113 SW 22nd Pl""",,2010-01-23,Florida Fish and Wildlife Conservation Commission,Specimens,Verified,Verified,,"1"
